feature,importance,importance_norm,rank
orig_upb,1941.000000,0.129400,1
loan_age,1359.000000,0.090600,2
remaining_months_to_mat,1256.000000,0.083733,3
pct_term_elapsed,1117.000000,0.074467,4
upb_fraction,1113.000000,0.074200,5
gs10_monthly,822.000000,0.054800,6
ph_delinq_count,693.000000,0.046200,7
rate_spread_to_10y,659.000000,0.043933,8
fico,540.000000,0.036000,9
orig_ltv,529.000000,0.035267,10
is_high_bal,476.000000,0.031733,11
rate_duration,463.000000,0.030867,12
first_time_buyer,361.000000,0.024067,13
spread_pos,332.000000,0.022133,14
is_judicial_state,323.000000,0.021533,15
age_sq,265.000000,0.017667,16
loan_purpose_P,257.000000,0.017133,17
is_investor,221.000000,0.014733,18
occupancy_status_P,221.000000,0.014733,19
current_interest_rate,181.000000,0.012067,20
equity_proxy,160.000000,0.010667,21
channel_R,144.000000,0.009600,22
logit_rate_spread_to_10y,125.000000,0.008333,23
property_type_SF,123.000000,0.008200,24
in_forbearance,110.000000,0.007333,25
month_of_year_9,88.000000,0.005867,26
orig_interest_rate,86.000000,0.005733,27
month_of_year_4,77.000000,0.005133,28
month_of_year_12,76.000000,0.005067,29
is_refi,73.000000,0.004867,30
month_of_year_2,67.000000,0.004467,31
property_type_MH,64.000000,0.004267,32
property_type_CP,56.000000,0.003733,33
fico_bucket_SuperPrime,53.000000,0.003533,34
month_of_year_5,52.000000,0.003467,35
property_type_PU,50.000000,0.003333,36
month_of_year_3,49.000000,0.003267,37
month_of_year_6,48.000000,0.003200,38
orig_loan_term,47.000000,0.003133,39
seasoning_bucket_13-36m,46.000000,0.003067,40
dti,44.000000,0.002933,41
is_cashout,42.000000,0.002800,42
channel_C,35.000000,0.002333,43
month_of_year_11,35.000000,0.002333,44
month_of_year_7,29.000000,0.001933,45
loan_purpose_R,26.000000,0.001733,46
term_15y,14.000000,0.000933,47
month_of_year_8,11.000000,0.000733,48
modified,9.000000,0.000600,49
high_ltv,6.000000,0.000400,50
vintage_year_2014,6.000000,0.000400,51
seasoning_bucket_37-60m,4.000000,0.000267,52
seasoning_bucket_61-120m,4.000000,0.000267,53
has_deferral,3.000000,0.000200,54
occupancy_status_S,3.000000,0.000200,55
ltv_x_refi,2.000000,0.000133,56
fico_x_refi,1.000000,0.000067,57
fico_bucket_Prime,1.000000,0.000067,58
has_ppm,1.000000,0.000067,59
month_of_year_10,1.000000,0.000067,60
refi_incentive_pos,0.000000,0.000000,61
refi_incentive,0.000000,0.000000,62
burnout_x_refi,0.000000,0.000000,63
excess_principal,0.000000,0.000000,64
loan_purpose_infrequent_sklearn,0.000000,0.000000,65
burnout,0.000000,0.000000,66
seasoning_bucket_120m+,0.000000,0.000000,67
fico_bucket_infrequent_sklearn,0.000000,0.000000,68
vintage_year_infrequent_sklearn,0.000000,0.000000,69
is_io,0.000000,0.000000,70
is_hltv_refi,0.000000,0.000000,71
