feature,coef,abs_coef,abs_coef_norm,rank
is_high_bal,-1.500191,1.500191,0.126345,1
loan_age,1.109428,1.109428,0.093435,2
age_sq,-0.696461,0.696461,0.058655,3
spread_pos,0.645545,0.645545,0.054367,4
seasoning_bucket_61-120m,-0.576139,0.576139,0.048522,5
in_forbearance,-0.559282,0.559282,0.047102,6
upb_fraction,-0.490556,0.490556,0.041314,7
property_type_MH,-0.440538,0.440538,0.037102,8
pct_term_elapsed,-0.427471,0.427471,0.036001,9
modified,-0.380988,0.380988,0.032087,10
property_type_CP,-0.351237,0.351237,0.029581,11
seasoning_bucket_120m+,-0.286249,0.286249,0.024108,12
orig_upb,0.283503,0.283503,0.023876,13
month_of_year_2,0.234919,0.234919,0.019785,14
seasoning_bucket_37-60m,-0.231735,0.231735,0.019517,15
month_of_year_5,0.193788,0.193788,0.016321,16
is_investor,-0.171673,0.171673,0.014458,17
has_deferral,0.165301,0.165301,0.013922,18
orig_loan_term,-0.155403,0.155403,0.013088,19
month_of_year_3,0.150853,0.150853,0.012705,20
is_judicial_state,-0.147415,0.147415,0.012415,21
fico_bucket_SuperPrime,0.147267,0.147267,0.012403,22
rate_duration,0.141795,0.141795,0.011942,23
property_type_SF,-0.138461,0.138461,0.011661,24
month_of_year_7,0.136710,0.136710,0.011514,25
ph_delinq_count,0.133473,0.133473,0.011241,26
month_of_year_4,0.133416,0.133416,0.011236,27
first_time_buyer,-0.128586,0.128586,0.010829,28
month_of_year_11,0.126939,0.126939,0.010691,29
occupancy_status_P,0.122376,0.122376,0.010306,30
channel_R,-0.100790,0.100790,0.008488,31
month_of_year_6,0.098310,0.098310,0.008280,32
fico_bucket_Prime,0.089720,0.089720,0.007556,33
month_of_year_9,0.081159,0.081159,0.006835,34
term_15y,0.077615,0.077615,0.006537,35
logit_rate_spread_to_10y,-0.075821,0.075821,0.006386,36
channel_C,-0.069503,0.069503,0.005853,37
month_of_year_12,-0.067696,0.067696,0.005701,38
remaining_months_to_mat,0.061115,0.061115,0.005147,39
month_of_year_10,0.060219,0.060219,0.005072,40
fico_x_refi,-0.056070,0.056070,0.004722,41
vintage_year_2014,0.053860,0.053860,0.004536,42
seasoning_bucket_13-36m,0.053572,0.053572,0.004512,43
loan_purpose_P,-0.053449,0.053449,0.004501,44
high_ltv,0.053325,0.053325,0.004491,45
property_type_PU,-0.048012,0.048012,0.004044,46
rate_spread_to_10y,-0.046312,0.046312,0.003900,47
month_of_year_8,0.036713,0.036713,0.003092,48
vintage_year_infrequent_sklearn,-0.034686,0.034686,0.002921,49
gs10_monthly,0.029690,0.029690,0.002500,50
burnout,0.027862,0.027862,0.002347,51
has_ppm,0.027473,0.027473,0.002314,52
current_interest_rate,-0.022228,0.022228,0.001872,53
orig_interest_rate,-0.018865,0.018865,0.001589,54
fico,-0.018751,0.018751,0.001579,55
refi_incentive,0.016812,0.016812,0.001416,56
fico_bucket_infrequent_sklearn,-0.012752,0.012752,0.001074,57
is_cashout,-0.011416,0.011416,0.000961,58
ltv_x_refi,0.010692,0.010692,0.000900,59
is_refi,-0.010376,0.010376,0.000874,60
orig_ltv,0.008810,0.008810,0.000742,61
equity_proxy,-0.008810,0.008810,0.000742,62
occupancy_status_S,0.007603,0.007603,0.000640,63
burnout_x_refi,0.006507,0.006507,0.000548,64
loan_purpose_R,0.003664,0.003664,0.000309,65
loan_purpose_infrequent_sklearn,-0.002685,0.002685,0.000226,66
refi_incentive_pos,0.002498,0.002498,0.000210,67
dti,-0.000615,0.000615,0.000052,68
excess_principal,0.000000,0.000000,0.000000,69
is_io,0.000000,0.000000,0.000000,70
is_hltv_refi,0.000000,0.000000,0.000000,71
