feature,importance,importance_norm,rank
logit_rate_spread_to_10y,0.107961,0.107961,1
gs10_monthly,0.105001,0.105001,2
rate_spread_to_10y,0.096157,0.096157,3
orig_upb,0.089707,0.089707,4
spread_pos,0.085125,0.085125,5
upb_fraction,0.083176,0.083176,6
remaining_months_to_mat,0.076498,0.076498,7
rate_duration,0.065434,0.065434,8
age_sq,0.050076,0.050076,9
loan_age,0.049736,0.049736,10
pct_term_elapsed,0.043930,0.043930,11
ph_delinq_count,0.019947,0.019947,12
is_high_bal,0.012114,0.012114,13
is_judicial_state,0.009534,0.009534,14
current_interest_rate,0.008954,0.008954,15
seasoning_bucket_61-120m,0.008303,0.008303,16
orig_interest_rate,0.007830,0.007830,17
fico,0.007091,0.007091,18
orig_loan_term,0.006677,0.006677,19
orig_ltv,0.006031,0.006031,20
equity_proxy,0.005897,0.005897,21
term_15y,0.005858,0.005858,22
occupancy_status_P,0.003937,0.003937,23
is_investor,0.003619,0.003619,24
first_time_buyer,0.003177,0.003177,25
dti,0.003176,0.003176,26
loan_purpose_P,0.003161,0.003161,27
is_refi,0.002930,0.002930,28
seasoning_bucket_37-60m,0.002822,0.002822,29
seasoning_bucket_120m+,0.002378,0.002378,30
seasoning_bucket_13-36m,0.002367,0.002367,31
loan_purpose_R,0.002083,0.002083,32
property_type_SF,0.002038,0.002038,33
property_type_PU,0.001743,0.001743,34
channel_R,0.001551,0.001551,35
fico_bucket_SuperPrime,0.001491,0.001491,36
high_ltv,0.001431,0.001431,37
month_of_year_12,0.001145,0.001145,38
in_forbearance,0.000899,0.000899,39
month_of_year_2,0.000840,0.000840,40
is_cashout,0.000766,0.000766,41
channel_C,0.000599,0.000599,42
month_of_year_9,0.000597,0.000597,43
fico_bucket_Prime,0.000552,0.000552,44
month_of_year_4,0.000529,0.000529,45
month_of_year_5,0.000501,0.000501,46
month_of_year_7,0.000498,0.000498,47
month_of_year_3,0.000467,0.000467,48
property_type_MH,0.000436,0.000436,49
month_of_year_11,0.000402,0.000402,50
vintage_year_2014,0.000388,0.000388,51
occupancy_status_S,0.000341,0.000341,52
month_of_year_8,0.000321,0.000321,53
month_of_year_10,0.000308,0.000308,54
month_of_year_6,0.000296,0.000296,55
modified,0.000290,0.000290,56
property_type_CP,0.000176,0.000176,57
burnout,0.000128,0.000128,58
fico_x_refi,0.000114,0.000114,59
refi_incentive,0.000105,0.000105,60
ltv_x_refi,0.000101,0.000101,61
burnout_x_refi,0.000100,0.000100,62
refi_incentive_pos,0.000082,0.000082,63
has_deferral,0.000081,0.000081,64
vintage_year_infrequent_sklearn,0.000001,0.000001,65
excess_principal,0.000000,0.000000,66
loan_purpose_infrequent_sklearn,0.000000,0.000000,67
fico_bucket_infrequent_sklearn,0.000000,0.000000,68
is_io,0.000000,0.000000,69
has_ppm,0.000000,0.000000,70
is_hltv_refi,0.000000,0.000000,71
