feature,coef,abs_coef,abs_coef_norm,rank
is_high_bal,-1.647412,1.647412,0.086833,1
loan_age,1.425366,1.425366,0.075129,2
loan_purpose_P,-1.089115,1.089115,0.057406,3
age_sq,-0.872696,0.872696,0.045999,4
seasoning_bucket_61-120m,-0.801309,0.801309,0.042236,5
is_investor,-0.764486,0.764486,0.040295,6
spread_pos,0.754924,0.754924,0.039791,7
is_refi,-0.704681,0.704681,0.037143,8
in_forbearance,-0.697560,0.697560,0.036767,9
occupancy_status_S,-0.581003,0.581003,0.030624,10
modified,-0.559356,0.559356,0.029483,11
upb_fraction,-0.528523,0.528523,0.027858,12
pct_term_elapsed,-0.504134,0.504134,0.026572,13
property_type_MH,-0.490968,0.490968,0.025878,14
seasoning_bucket_120m+,-0.450350,0.450350,0.023737,15
occupancy_status_P,-0.447608,0.447608,0.023593,16
seasoning_bucket_37-60m,-0.417314,0.417314,0.021996,17
property_type_CP,-0.403627,0.403627,0.021275,18
orig_loan_term,-0.370525,0.370525,0.019530,19
is_cashout,-0.351325,0.351325,0.018518,20
loan_purpose_R,-0.330776,0.330776,0.017435,21
orig_upb,0.264042,0.264042,0.013917,22
term_15y,-0.252948,0.252948,0.013333,23
month_of_year_2,0.243097,0.243097,0.012813,24
month_of_year_5,0.209963,0.209963,0.011067,25
has_deferral,0.205741,0.205741,0.010844,26
has_ppm,0.205699,0.205699,0.010842,27
vintage_year_infrequent_sklearn,-0.194730,0.194730,0.010264,28
month_of_year_3,0.189214,0.189214,0.009973,29
property_type_SF,-0.158813,0.158813,0.008371,30
remaining_months_to_mat,0.156245,0.156245,0.008235,31
fico_bucket_SuperPrime,0.154159,0.154159,0.008125,32
is_judicial_state,-0.147188,0.147188,0.007758,33
ph_delinq_count,0.138699,0.138699,0.007311,34
month_of_year_4,0.137937,0.137937,0.007270,35
month_of_year_11,0.135880,0.135880,0.007162,36
month_of_year_7,0.135059,0.135059,0.007119,37
rate_duration,0.126934,0.126934,0.006691,38
first_time_buyer,-0.124111,0.124111,0.006542,39
rate_spread_to_10y,-0.109372,0.109372,0.005765,40
month_of_year_6,0.106991,0.106991,0.005639,41
gs10_monthly,0.104451,0.104451,0.005505,42
channel_R,-0.095924,0.095924,0.005056,43
month_of_year_9,0.090702,0.090702,0.004781,44
refi_incentive,0.088491,0.088491,0.004664,45
fico_bucket_Prime,0.086332,0.086332,0.004550,46
logit_rate_spread_to_10y,-0.079886,0.079886,0.004211,47
fico_x_refi,-0.073388,0.073388,0.003868,48
channel_C,-0.069209,0.069209,0.003648,49
fico_bucket_infrequent_sklearn,-0.065990,0.065990,0.003478,50
property_type_PU,-0.064363,0.064363,0.003392,51
month_of_year_10,0.059318,0.059318,0.003127,52
vintage_year_2014,0.057021,0.057021,0.003005,53
high_ltv,0.052105,0.052105,0.002746,54
burnout,0.050445,0.050445,0.002659,55
current_interest_rate,-0.040749,0.040749,0.002148,56
month_of_year_8,0.039992,0.039992,0.002108,57
seasoning_bucket_13-36m,-0.036263,0.036263,0.001911,58
month_of_year_12,-0.034944,0.034944,0.001842,59
dti,-0.031604,0.031604,0.001666,60
ltv_x_refi,0.031076,0.031076,0.001638,61
orig_interest_rate,-0.030463,0.030463,0.001606,62
burnout_x_refi,0.025090,0.025090,0.001322,63
fico,-0.024156,0.024156,0.001273,64
loan_purpose_infrequent_sklearn,-0.022564,0.022564,0.001189,65
refi_incentive_pos,-0.017017,0.017017,0.000897,66
equity_proxy,0.005415,0.005415,0.000285,67
orig_ltv,-0.005415,0.005415,0.000285,68
excess_principal,0.000000,0.000000,0.000000,69
is_io,0.000000,0.000000,0.000000,70
is_hltv_refi,0.000000,0.000000,0.000000,71
