feature,importance,importance_norm,rank
logit_rate_spread_to_10y,0.155984,0.155984,1
rate_spread_to_10y,0.084051,0.084051,2
orig_loan_term,0.081390,0.081390,3
is_high_bal,0.077022,0.077022,4
gs10_monthly,0.047782,0.047782,5
remaining_months_to_mat,0.038961,0.038961,6
ph_delinq_count,0.038937,0.038937,7
upb_fraction,0.036765,0.036765,8
orig_upb,0.032753,0.032753,9
first_time_buyer,0.027013,0.027013,10
loan_age,0.026975,0.026975,11
age_sq,0.024183,0.024183,12
is_judicial_state,0.020571,0.020571,13
spread_pos,0.019763,0.019763,14
occupancy_status_P,0.016696,0.016696,15
loan_purpose_P,0.014274,0.014274,16
is_investor,0.014133,0.014133,17
property_type_SF,0.014053,0.014053,18
in_forbearance,0.013989,0.013989,19
month_of_year_12,0.013642,0.013642,20
pct_term_elapsed,0.013603,0.013603,21
fico_bucket_SuperPrime,0.012593,0.012593,22
property_type_MH,0.010804,0.010804,23
property_type_CP,0.010389,0.010389,24
month_of_year_5,0.009407,0.009407,25
rate_duration,0.008934,0.008934,26
equity_proxy,0.006874,0.006874,27
orig_ltv,0.006641,0.006641,28
month_of_year_9,0.006469,0.006469,29
seasoning_bucket_37-60m,0.006174,0.006174,30
channel_R,0.005971,0.005971,31
term_15y,0.005957,0.005957,32
current_interest_rate,0.005696,0.005696,33
month_of_year_2,0.005652,0.005652,34
fico,0.004962,0.004962,35
seasoning_bucket_61-120m,0.004666,0.004666,36
property_type_PU,0.004297,0.004297,37
month_of_year_4,0.004213,0.004213,38
month_of_year_6,0.004175,0.004175,39
loan_purpose_R,0.004079,0.004079,40
orig_interest_rate,0.003964,0.003964,41
seasoning_bucket_13-36m,0.003895,0.003895,42
is_refi,0.003883,0.003883,43
month_of_year_8,0.003495,0.003495,44
month_of_year_7,0.003342,0.003342,45
high_ltv,0.003337,0.003337,46
is_cashout,0.003319,0.003319,47
month_of_year_11,0.003308,0.003308,48
channel_C,0.003222,0.003222,49
vintage_year_2014,0.002928,0.002928,50
occupancy_status_S,0.002665,0.002665,51
month_of_year_3,0.002640,0.002640,52
modified,0.002182,0.002182,53
has_ppm,0.001856,0.001856,54
dti,0.001746,0.001746,55
fico_bucket_Prime,0.001670,0.001670,56
vintage_year_infrequent_sklearn,0.001468,0.001468,57
month_of_year_10,0.001456,0.001456,58
has_deferral,0.001396,0.001396,59
burnout_x_refi,0.001133,0.001133,60
fico_x_refi,0.001113,0.001113,61
ltv_x_refi,0.001080,0.001080,62
refi_incentive_pos,0.001058,0.001058,63
burnout,0.001056,0.001056,64
seasoning_bucket_120m+,0.000838,0.000838,65
refi_incentive,0.000831,0.000831,66
fico_bucket_infrequent_sklearn,0.000626,0.000626,67
excess_principal,0.000000,0.000000,68
loan_purpose_infrequent_sklearn,0.000000,0.000000,69
is_io,0.000000,0.000000,70
is_hltv_refi,0.000000,0.000000,71
