param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,mean_test_score,std_test_score,rank_test_score
0.8,10,0.01,800,3,3,0.1,0.0,0.8,0.7123441337782149,0.0025635036592610355,1
0.6,1,0.01,400,5,5,0.05,0.1,1.0,0.7121394113880378,0.0025524680875025287,2
0.6,5,1.0,600,10,5,0.05,1.0,0.8,0.711811183499249,0.002563060909410084,3
0.8,10,1.0,800,10,6,0.03,1.0,0.8,0.7116606356055467,0.002397482095399658,4
0.6,10,0.01,200,5,4,0.1,0.1,0.8,0.7116151303725055,0.002456205403395277,5
1.0,10,0.0,400,5,5,0.03,0.0,0.6,0.7113100935862494,0.0026015324368477756,6
1.0,3,0.1,200,5,6,0.05,0.1,0.8,0.7111496539632425,0.0024375225659891975,7
0.8,5,0.1,600,10,3,0.05,0.0,0.6,0.7110298608080047,0.0024420435122577628,8
1.0,3,1.0,200,5,6,0.05,0.3,1.0,0.7104173361357867,0.0025535045891781575,9
1.0,1,0.0,200,5,5,0.05,1.0,0.6,0.7104144360051222,0.0026214935335966763,10
1.0,10,0.0,800,10,6,0.03,1.0,1.0,0.7102744362523433,0.0020755382490984056,11
1.0,1,1.0,200,10,5,0.05,0.3,1.0,0.7098324199923697,0.0022498792105359517,12
0.6,10,0.0,400,10,5,0.1,1.0,1.0,0.7096193543698027,0.002605004671813767,13
0.6,10,0.0,400,1,3,0.05,1.0,0.8,0.7093657614731854,0.0024888578341117074,14
1.0,5,0.01,600,3,6,0.05,0.1,0.8,0.7092198463585119,0.0021336302041788263,15
1.0,10,0.01,400,1,3,0.05,0.3,1.0,0.7084869061050033,0.0023132493760510903,16
1.0,10,0.01,200,10,3,0.1,0.1,1.0,0.7083747673519271,0.001900878529186147,17
1.0,10,0.0,400,5,6,0.1,0.0,1.0,0.7058775773145524,0.002453798004309526,18
1.0,10,0.01,200,10,4,0.03,0.1,0.8,0.7055606046727481,0.0025296854519528135,19
0.8,3,0.1,200,10,3,0.05,1.0,1.0,0.7050921737647154,0.0024570995363894137,20
0.6,1,0.0,400,1,2,0.05,1.0,1.0,0.7037425527640994,0.0021304629417762105,21
0.6,3,1.0,400,10,2,0.05,0.1,0.6,0.7036872279534908,0.002379396063813018,22
0.8,1,0.0,200,1,3,0.03,0.0,0.6,0.7016480529952477,0.0024063693177620257,23
0.6,1,1.0,800,3,6,0.1,0.3,1.0,0.6959676749924304,0.0025076438093689654,24
1.0,1,0.01,200,1,2,0.03,0.1,1.0,0.6939617409541968,0.0018400892119742524,25
