param_learning_rate,param_max_depth,param_n_estimators,mean_test_score,std_test_score,rank_test_score
0.05,4,600,0.7098483949566337,0.0010269687990964455,1
0.05,4,800,0.709833294359178,0.00083034785525532,2
0.05,4,400,0.7091591628495125,0.0011998194159963187,3
0.01,6,800,0.7089269008732533,0.00130472672236269,4
0.05,6,400,0.7081462376106034,0.0006860281855238535,5
0.01,6,600,0.7078996991879686,0.0012722743177441805,6
0.05,6,600,0.7065004722249019,0.0006589444163776708,7
0.01,6,400,0.7058656337394836,0.0012378464132902856,8
0.01,4,800,0.7053877467836519,0.0016114933900925085,9
0.05,6,800,0.7045352889105286,0.0005952347915186873,10
0.01,4,600,0.7035862665381227,0.0016172282394521906,11
0.01,4,400,0.7003760764027317,0.001612035239265463,12
